Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Jalan Bahagia,HDB 3 Room,28,Jalan Bahagia,,28 Jalan Bahagia,,,55,47,350000,https://www.99.co/singapore/sale/property/28-jalan-bahagia-hdb-UUpHCPQqjMWbmy3G72WSrs,52.0,2,1
Petir,HDB 4 Room,208,Petir Road,,208 Petir Road,,,83,64,438000,https://www.99.co/singapore/sale/property/208-petir-road-hdb-gRs3k6Sk7U9xgwoJuwor4K,35.0,3,2
Serangoon North,HDB Executive,527,Serangoon North Avenue 4,,527 Serangoon North Avenue 4,,,146,68,919888,https://www.99.co/singapore/sale/property/527-serangoon-north-avenue-4-hdb-FcYEuKD6GN2nPMASt8cGvM,31.0,3,2
Boon Lay Place,HDB 3 Room,210,Boon Lay Place,,210 Boon Lay Place,,,65,53,350000,https://www.99.co/singapore/sale/property/210-boon-lay-place-hdb-nrBF5bo6tp6oYo7MkgUTg6,46.0,2,1
Boon Lay Place,HDB 3 Room,210,Boon Lay Place,,210 Boon Lay Place,,,65,53,350000,https://www.99.co/singapore/sale/property/210-boon-lay-place-hdb-VRNVaksk4QURHx33wNabE5,46.0,2,1
Bishan,HDB Executive,257,Bishan Street 22,,257 Bishan Street 22,,,146,68,1150000,https://www.99.co/singapore/sale/property/257-bishan-street-22-hdb-kD89KH9zGmhzZarXfSjwQK,31.0,4,3
Havelock,HDB 3 Room,57,Havelock Road,,57 Havelock Road,,,69,89,600000,https://www.99.co/singapore/sale/property/57-havelock-road-hdb-kzkPcoVPoeMvUqg9Cokf8T,10.0,2,2
Bukit Batok,HDB Executive,330,Bukit Batok Street 33,,330 Bukit Batok Street 33,,,143,62,780000,https://www.99.co/singapore/sale/property/330-bukit-batok-street-33-hdb-fSTPLdkyzRJozyfpL5w6Et,37.0,4,2
Jurong West,HDB Executive,626,Jurong West Street 65,,626 Jurong West Street 65,,,129,77,668000,https://www.99.co/singapore/sale/property/626-jurong-west-street-65-hdb-nh5Sf6aD4KBDsUwMxcUshS,22.0,4,2
Lorong 7 Toa Payoh,HDB 3 Room,13,Lorong 7 Toa Payoh,,13 Lorong 7 Toa Payoh,,,65,46,348888,https://www.99.co/singapore/sale/property/13-lorong-7-toa-payoh-hdb-6N7ikKed5pyiuZDmt9qGXB,53.0,2,1
Bukit Batok Central,HDB Executive,627,Bukit Batok Central,,627 Bukit Batok Central,,,143,73,1080000,https://www.99.co/singapore/sale/property/627-bukit-batok-central-hdb-FaykdDfgrHhBeKMFJG6PSq,26.0,4,3
Toh Yi,HDB Executive,6,Toh Yi Drive,,6 Toh Yi Drive,,,145,65,1390000,https://www.99.co/singapore/sale/property/6-toh-yi-drive-hdb-fWpQBtndQi8D5rdFr9v9gA,34.0,4,3
Jalan Tenteram,HDB 4 Room,117A,Jalan Tenteram,,117A Jalan Tenteram,,,92,93,880000,https://www.99.co/singapore/sale/property/117a-jalan-tenteram-hdb-f3LejZUxXjUBFMRpX9h9hm,6.0,3,2
Upper Serangoon Crescent,HDB 5 Room,475D,Upper Serangoon Crescent,,475D Upper Serangoon Crescent,,,111,90,900000,https://www.99.co/singapore/sale/property/475d-upper-serangoon-crescent-hdb-Q9mghcwYi4hmgrc4nLwUQN,9.0,4,2
Kallang Bahru,HDB 2 Room,64,Kallang Bahru,,64 Kallang Bahru,,,65,50,390000,https://www.99.co/singapore/sale/property/64-kallang-bahru-hdb-BmREBFjpy3xra8VaVPCCNs,49.0,2,2
Ang Mo Kio,HDB 3 Room,606,Ang Mo Kio Avenue 5,,606 Ang Mo Kio Avenue 5,,,66,56,400000,https://www.99.co/singapore/sale/property/606-ang-mo-kio-avenue-5-hdb-M8AnavwptJRqQDywSvMrL4,43.0,2,2
Buangkok Link,HDB 2 Room,992A,Buangkok Link,,992A Buangkok Link,,,37,95,348888,https://www.99.co/singapore/sale/property/992a-buangkok-link-hdb-6XTu7kevxtgmE6Dd6r87wd,4.0,1Bed,1
Choa Chu Kang,HDB 4 Room,811A,Choa Chu Kang Avenue 7,,811A Choa Chu Kang Avenue 7,,,92,93,586000,https://www.99.co/singapore/sale/property/811a-choa-chu-kang-avenue-7-hdb-jJnMxSMif86G3Nge8mknpk,6.0,3,2
Woodlands,HDB 4 Room,529,Woodlands Drive 14,,529 Woodlands Drive 14,,,104,75,550000,https://www.99.co/singapore/sale/property/529-woodlands-drive-14-hdb-89B4Nodfr4xzSnfcgiR96c,24.0,3,2
Bedok South,HDB 5 Room,20,Bedok South Road,,20 Bedok South Road,,,118,52,780000,https://www.99.co/singapore/sale/property/20-bedok-south-road-hdb-b8UE3BC3inauquJk9kjpWx,47.0,3,2
