Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Teban Vista,HDB 4 Room,22,Teban Vista,,Blk 22 Teban Vista,,,92,89,860000,https://www.srx.com.sg/listings/100702821/for-sale-teban-vista-rare-and-quiet-facing-high-floor-4-rm-hdb-next-to,10.0,3,2.0
Kang Ching,HDB 4 Room,345,Kang Ching Road,,Blk 345 Kang Ching Road,,,102,73,860000,https://www.srx.com.sg/listings/100546871/for-sale-kang-ching-road-kang-ching-road,26.0,3,2.0
Jurong West,HDB 3 Room,481,Jurong West Street 41,,Blk 481 Jurong West Street 41,,,66,61,1210000,https://www.srx.com.sg/listings/100212541/for-sale-jurong-west-street-41-jurong-west-street-41,38.0,2,2.0
Jurong East,HDB 3 Room,244,Jurong East Street 24,,Blk 244 Jurong East Street 24,,,67,59,1210000,https://www.srx.com.sg/listings/100702741/for-sale-jurong-east-street-24-high-floor-no-noon-sun,40.0,2,2.0
Serangoon North,HDB 5 Room,505,Serangoon North Avenue 4,,Blk 505 Serangoon North Avenue 4,,,124,68,1210000,https://www.srx.com.sg/listings/100417661/for-sale-serangoon-north-avenue-4-serious-seller-high-floor-unblocked-view-all-rac,31.0,4,2.0
Compassvale Crescent,HDB 5 Room,289A,Compassvale Crescent,,Blk 289A Compassvale Crescent,,,113,93,550000,https://www.srx.com.sg/listings/100270731/for-sale-compassvale-crescent-compassvale-crescent,6.0,3,2.0
Dover,HDB 3 Room,1,Dover Road,,Blk 1 Dover Road,,,73,51,550000,https://www.srx.com.sg/listings/100575971/for-sale-dover-road-dover-road,48.0,3,2.0
Tampines Greenleaf,HDB 4 Room,524B,Tampines Greenleaf,,Blk 524B Tampines Greenleaf,,,93,91,550000,https://www.srx.com.sg/listings/100681321/for-sale-tampines-greenleaf-tampines-central-7,8.0,3,2.0
Parkland Residences,HDB 4 Room,475D,Parkland Residences,,Blk 475D Parkland Residences,,,92,90,868000,https://www.srx.com.sg/listings/99990001/for-sale-parkland-residences-upper-serangoon-crescent,9.0,3,2.0
Centrale 8 At Tampines,HDB 4 Room,519A,Centrale 8 At Tampines,,Blk 519A Centrale 8 At Tampines,,,83,90,868000,https://www.srx.com.sg/listings/99161451/for-sale-centrale-8-at-tampines-blk-519a-tampines-central-4room-dbss-for-sales,9.0,3,2.0
Pine Green,HDB 4 Room,49,Pine Green,,Blk 49 Pine Green,,,93,81,360000,https://www.srx.com.sg/listings/99946091/for-sale-pine-green-blk-49-jalan-tiga-4room-for-sales-corner-unit-mr,18.0,3,2.0
Pine Green,HDB 4 Room,49,Pine Green,,Blk 49 Pine Green,,,93,81,360000,https://www.srx.com.sg/listings/100366561/for-sale-pine-green-jalan-tiga,18.0,3,2.0
Jurong West,HDB 5 Room,934,Jurong West Street 91,,Blk 934 Jurong West Street 91,,,122,64,358000,https://www.srx.com.sg/listings/100357571/for-sale-jurong-west-street-91-jurong-west-street-91,35.0,3,2.0
Telok Blangah,HDB 3 Room,64,Telok Blangah Drive,,Blk 64 Telok Blangah Drive,,,67,54,538000,https://www.srx.com.sg/listings/100676641/for-sale-telok-blangah-drive-telok-blangah-drive,45.0,2,2.0
Chai Chee,HDB 3 Room,55,Chai Chee Drive,,Blk 55 Chai Chee Drive,,,76,60,538000,https://www.srx.com.sg/listings/100472251/for-sale-chai-chee-drive-chai-chee-drive,39.0,2,2.0
Ang Mo Kio,HDB 3 Room,156,Ang Mo Kio Avenue 4,,Blk 156 Ang Mo Kio Avenue 4,,,82,57,538000,https://www.srx.com.sg/listings/100691541/for-sale-ang-mo-kio-avenue-4-pure-sale-no-extension-corner-middle-floor,42.0,2,2.0
Yishun,HDB Executive,606,Yishun Street 61,,Blk 606 Yishun Street 61,,,142,63,690000,https://www.srx.com.sg/listings/100518751/for-sale-yishun-street-61-yishun-street-61,36.0,3,2.0
Yishun,HDB Executive,606,Yishun Street 61,,Blk 606 Yishun Street 61,,,142,63,690000,https://www.srx.com.sg/listings/100513201/for-sale-yishun-street-61-yishun-street-61,36.0,3,2.0
Shunfu Gardens,HDB 5 Room,310,Shunfu Gardens,,Blk 310 Shunfu Gardens,,,121,60,538000,https://www.srx.com.sg/listings/100340061/for-sale-shunfu-gardens-shunfu-road,39.0,3,2.0
Toh Guan,HDB 4 Room,285B,Toh Guan Road,,Blk 285B Toh Guan Road,,,102,74,538000,https://www.srx.com.sg/listings/100398801/for-sale-toh-guan-road-toh-guan-road,25.0,3,2.0
Choa Chu Kang,HDB 5 Room,812C,Choa Chu Kang Avenue 7,,Blk 812C Choa Chu Kang Avenue 7,,,113,93,538000,https://www.srx.com.sg/listings/100444271/for-sale-choa-chu-kang-avenue-7-high-floor-above-level-10-corner-unit-unblocked,6.0,3,2.0
Bedok South,HDB 5 Room,66,Bedok South Avenue 3,,Blk 66 Bedok South Avenue 3,,,123,53,825000,https://www.srx.com.sg/listings/100666131/for-sale-bedok-south-avenue-3-bedok-south-avenue-3,46.0,3,2.0
Pasir Ris,HDB 4 Room,461,Pasir Ris Drive 4,,Blk 461 Pasir Ris Drive 4,,,104,68,825000,https://www.srx.com.sg/listings/99347651/for-sale-pasir-ris-drive-4-pasir-ris-drive-4,31.0,3,2.0
Edgefield,HDB Executive,118,Edgefield Plains,,Blk 118 Edgefield Plains,,,130,79,825000,https://www.srx.com.sg/listings/100226281/for-sale-edgefield-plains-edgefield-plains,20.0,4,2.0
Ang Mo Kio,HDB 3 Room,570,Ang Mo Kio Avenue 3,,Blk 570 Ang Mo Kio Avenue 3,,,67,55,438000,https://www.srx.com.sg/listings/100646111/for-sale-ang-mo-kio-avenue-3-ang-mo-kio-avenue-3,44.0,2,1.0
Choa Chu Kang,HDB 5 Room,707,Choa Chu Kang Street 53,,Blk 707 Choa Chu Kang Street 53,,,128,71,438000,https://www.srx.com.sg/listings/100159181/for-sale-choa-chu-kang-street-53-choa-chu-kang-5rm-unit-for-sale,28.0,3,2.0
Hougang,HDB Executive,357,Hougang Avenue 7,,Blk 357 Hougang Avenue 7,,,148,61,748000,https://www.srx.com.sg/listings/99565151/for-sale-hougang-avenue-7-hougang-avenue-7,38.0,3,3.0
Jurong West,HDB 5 Room,846,Jurong West Street 81,,Blk 846 Jurong West Street 81,,,135,72,748000,https://www.srx.com.sg/listings/100255271/for-sale-jurong-west-street-81-jurong-west-street-81,27.0,4,2.0
Yishun Ring,HDB 3 Room,118,Yishun Ring Road,,Blk 118 Yishun Ring Road,,,74,59,748000,https://www.srx.com.sg/listings/100690261/for-sale-yishun-ring-road-yishun-ring-road,40.0,2,2.0
Edgefield,HDB 4 Room,673C,Edgefield Plains,,Blk 673C Edgefield Plains,,,90,91,525000,https://www.srx.com.sg/listings/100690221/for-sale-edgefield-plains-edgefield-plains,8.0,3,2.0
Jalan Membina,HDB 4 Room,118D,Jalan Membina,,Blk 118D Jalan Membina,,,90,79,525000,https://www.srx.com.sg/listings/98730661/for-sale-jalan-membina-jalan-membina,20.0,3,2.0
Choa Chu Kang Crescent,HDB 4 Room,691B,Choa Chu Kang Crescent,,Blk 691B Choa Chu Kang Crescent,,,90,79,525000,https://www.srx.com.sg/listings/100396511/for-sale-choa-chu-kang-crescent-choa-chu-kang-crescent,20.0,3,2.0
Choa Chu Kang Crescent,HDB 4 Room,691B,Choa Chu Kang Crescent,,Blk 691B Choa Chu Kang Crescent,,,90,79,469000,https://www.srx.com.sg/listings/100402171/for-sale-choa-chu-kang-crescent-choa-chu-kang-crescent,20.0,3,2.0
Pasir Ris,HDB 4 Room,126,Pasir Ris Street 11,,Blk 126 Pasir Ris Street 11,,,106,65,469000,https://www.srx.com.sg/listings/99874281/for-sale-pasir-ris-street-11-pasir-ris-street-11,34.0,2,2.0
Jurong West,HDB 4 Room,674A,Jurong West Street 65,,Blk 674A Jurong West Street 65,,,91,78,469000,https://www.srx.com.sg/listings/100277511/for-sale-jurong-west-street-65-jurong-west-street-65,21.0,3,2.0
Toa Payoh Green,HDB 3 Room,169,Toa Payoh Green,,Blk 169 Toa Payoh Green,,,76,48,588000,https://www.srx.com.sg/listings/99712541/for-sale-toa-payoh-green-lorong-1-toa-payoh,51.0,2,1.0
Marine Terrace,HDB 3 Room,20,Marine Terrace,,Blk 20 Marine Terrace,,,76,51,588000,https://www.srx.com.sg/listings/99276161/for-sale-marine-terrace-rare-corner-unit,48.0,2,2.0
Jurong West,HDB 5 Room,275C,Jurong West Street 25,,Blk 275C Jurong West Street 25,,,111,78,588000,https://www.srx.com.sg/listings/100661161/for-sale-jurong-west-street-25-jurong-west-street-25,21.0,3,2.0
Rivervale Crescent,HDB 4 Room,156,Rivervale Crescent,,Blk 156 Rivervale Crescent,,,92,81,489000,https://www.srx.com.sg/listings/100692231/for-sale-rivervale-crescent-attractive-unblocked-4rm-hdb-for-sale-call-9386,18.0,3,2.0
