Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 570 Ang Mo Kio Avenue 3,https://www.srx.com.sg/listings/100646111/for-sale-ang-mo-kio-avenue-3-ang-mo-kio-avenue-3,2,1,67,3 Room,Model A,1979,438000,44
Blk 707 Choa Chu Kang Street 53,https://www.srx.com.sg/listings/100159181/for-sale-choa-chu-kang-street-53-choa-chu-kang-5rm-unit-for-sale,3,2,128,5 Room,Improved,1995,438000,28
Blk 357 Hougang Avenue 7,https://www.srx.com.sg/listings/99565151/for-sale-hougang-avenue-7-hougang-avenue-7,3,3,148,HDB Executive,Maisonette,1985,748000,38
Blk 846 Jurong West Street 81,https://www.srx.com.sg/listings/100255271/for-sale-jurong-west-street-81-jurong-west-street-81,4,2,135,5 Room,Improved,1996,748000,27
Blk 118 Yishun Ring Road,https://www.srx.com.sg/listings/100690261/for-sale-yishun-ring-road-yishun-ring-road,2,2,74,3 Room,Model A,1983,748000,40
Blk 673C Edgefield Plains,https://www.srx.com.sg/listings/100690221/for-sale-edgefield-plains-edgefield-plains,3,2,90,4 Room,Standard,2015,525000,8
Blk 118D Jalan Membina,https://www.srx.com.sg/listings/98730661/for-sale-jalan-membina-jalan-membina,3,2,90,4 Room,Model A,2003,525000,20
Blk 691B Choa Chu Kang Crescent,https://www.srx.com.sg/listings/100396511/for-sale-choa-chu-kang-crescent-choa-chu-kang-crescent,3,2,90,4 Room,Model A,2003,525000,20
Blk 691B Choa Chu Kang Crescent,https://www.srx.com.sg/listings/100402171/for-sale-choa-chu-kang-crescent-choa-chu-kang-crescent,3,2,90,4 Room,Model A,2003,469000,20
Blk 126 Pasir Ris Street 11,https://www.srx.com.sg/listings/99874281/for-sale-pasir-ris-street-11-pasir-ris-street-11,2,2,106,4 Room,Model A,1989,469000,34
Blk 674A Jurong West Street 65,https://www.srx.com.sg/listings/100277511/for-sale-jurong-west-street-65-jurong-west-street-65,3,2,91,4 Room,Model A,2002,469000,21
Blk 169 Toa Payoh Green,https://www.srx.com.sg/listings/99712541/for-sale-toa-payoh-green-lorong-1-toa-payoh,2,1,76,3 Room,Improved,1972,588000,51
Blk 20 Marine Terrace,https://www.srx.com.sg/listings/99276161/for-sale-marine-terrace-rare-corner-unit,2,2,76,3 Room,Improved,1975,588000,48
Blk 275C Jurong West Street 25,https://www.srx.com.sg/listings/100661161/for-sale-jurong-west-street-25-jurong-west-street-25,3,2,111,5 Room,Improved,2002,588000,21
