Year,Town,Flat_Type,Price
2019,SENGKANG,2 ROOM,241131.57894736843
2019,SENGKANG,3 ROOM,342628.7643312102
2019,SENGKANG,4 ROOM,426422.6192513369
2019,SENGKANG,5 ROOM,487045.07001795335
2019,SENGKANG,EXECUTIVE,570127.9629629629
2019,SERANGOON,2 ROOM,207500.0
2019,SERANGOON,3 ROOM,306905.6842105263
2019,SERANGOON,4 ROOM,455292.841025641
2019,SERANGOON,5 ROOM,581518.4047619047
2019,SERANGOON,EXECUTIVE,743678.4918032787
2019,TAMPINES,2 ROOM,266186.6666666667
2019,TAMPINES,3 ROOM,336588.69375
2019,TAMPINES,4 ROOM,442786.66211604094
2019,TAMPINES,5 ROOM,550446.8617886179
2019,TAMPINES,EXECUTIVE,677848.9752066116
2019,TAMPINES,MULTI-GENERATION,845000.0
2019,TOA PAYOH,2 ROOM,196309.8947368421
2019,TOA PAYOH,3 ROOM,269348.6886792453
2019,TOA PAYOH,4 ROOM,556900.3773584906
2019,TOA PAYOH,5 ROOM,752378.4927536232
2019,TOA PAYOH,EXECUTIVE,725526.3157894737
2019,WOODLANDS,2 ROOM,221099.58620689655
2019,WOODLANDS,3 ROOM,257026.17699115045
2019,WOODLANDS,4 ROOM,335777.0364779874
2019,WOODLANDS,5 ROOM,403034.39019963704
2019,WOODLANDS,EXECUTIVE,586704.0777202073
2019,YISHUN,2 ROOM,220196.26666666666
2019,YISHUN,3 ROOM,272488.7248908297
2019,YISHUN,4 ROOM,365891.2259887006
2019,YISHUN,5 ROOM,477724.41139240505
2019,YISHUN,EXECUTIVE,567527.3010752688
2019,YISHUN,MULTI-GENERATION,764347.0
2020,ANG MO KIO,2 ROOM,205375.0
2020,ANG MO KIO,3 ROOM,295265.9125248509
2020,ANG MO KIO,4 ROOM,449672.5714285714
2020,ANG MO KIO,5 ROOM,654862.6234567901
2020,ANG MO KIO,EXECUTIVE,810733.3333333334
2020,BEDOK,2 ROOM,215250.0
2020,BEDOK,3 ROOM,289222.37386569876
2020,BEDOK,4 ROOM,444349.02169197396
2020,BEDOK,5 ROOM,579977.6113744075
2020,BEDOK,EXECUTIVE,707804.6714285715
2020,BISHAN,3 ROOM,337597.9591836735
2020,BISHAN,4 ROOM,541635.7365853658
2020,BISHAN,5 ROOM,749556.5352112676
2020,BISHAN,EXECUTIVE,891591.4509803922
2020,BISHAN,MULTI-GENERATION,940000.0
2020,BUKIT BATOK,3 ROOM,262647.47540983604
2020,BUKIT BATOK,4 ROOM,368251.4539007092
2020,BUKIT BATOK,5 ROOM,523592.1
2020,BUKIT BATOK,EXECUTIVE,611615.0099009901
2020,BUKIT MERAH,1 ROOM,180000.0
2020,BUKIT MERAH,2 ROOM,249934.06896551725
2020,BUKIT MERAH,3 ROOM,380850.924137931
2020,BUKIT MERAH,4 ROOM,662158.9629629629
2020,BUKIT MERAH,5 ROOM,760049.1224489796
2020,BUKIT PANJANG,2 ROOM,233447.8260869565
2020,BUKIT PANJANG,3 ROOM,308510.79354838707
2020,BUKIT PANJANG,4 ROOM,412709.7482394366
2020,BUKIT PANJANG,5 ROOM,513722.0169491525
2020,BUKIT PANJANG,EXECUTIVE,602053.3333333334
2020,BUKIT TIMAH,3 ROOM,392688.8
2020,BUKIT TIMAH,4 ROOM,632934.125
2020,BUKIT TIMAH,5 ROOM,858000.0
2020,BUKIT TIMAH,EXECUTIVE,941444.4444444445
2020,CENTRAL AREA,2 ROOM,238777.77777777778
2020,CENTRAL AREA,3 ROOM,407383.1176470588
2020,CENTRAL AREA,4 ROOM,704762.7076923077
2020,CENTRAL AREA,5 ROOM,943609.8571428572
2020,CHOA CHU KANG,2 ROOM,228453.33333333334
2020,CHOA CHU KANG,3 ROOM,306959.1875
2020,CHOA CHU KANG,4 ROOM,371512.6317016317
2020,CHOA CHU KANG,5 ROOM,446592.47530864197
2020,CHOA CHU KANG,EXECUTIVE,537192.6181818182
2020,CLEMENTI,2 ROOM,312000.0
2020,CLEMENTI,3 ROOM,339928.70566037734
2020,CLEMENTI,4 ROOM,565491.6350710901
2020,CLEMENTI,5 ROOM,751804.1518987342
2020,CLEMENTI,EXECUTIVE,788239.8181818182
2020,GEYLANG,2 ROOM,196617.64705882352
2020,GEYLANG,3 ROOM,278893.1782945736
2020,GEYLANG,4 ROOM,547268.1194029851
2020,GEYLANG,5 ROOM,667907.8857142857
2020,GEYLANG,EXECUTIVE,752861.0
2020,HOUGANG,2 ROOM,230400.0
2020,HOUGANG,3 ROOM,302565.9299610895
2020,HOUGANG,4 ROOM,417780.44756554306
2020,HOUGANG,5 ROOM,556631.6327868853
2020,HOUGANG,EXECUTIVE,678372.5428571429
