Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Lorong 5 Toa Payoh,HDB 3 Room,57,Lorong 5 Toa Payoh,,Blk 57 Lorong 5 Toa Payoh,,,61,49,850000,https://www.srx.com.sg/listings/100334291/for-sale-lorong-5-toa-payoh-lorong-5-toa-payoh,50.0,3,1.0
Lorong Ah Soo,HDB Executive,145,Lorong Ah Soo,,Blk 145 Lorong Ah Soo,,,148,60,820000,https://www.srx.com.sg/listings/99853481/for-sale-lorong-ah-soo-lorong-ah-soo,39.0,4,3.0
Skyparc,HDB 4 Room,94,Skyparc @ Dawson,,Blk 94 Skyparc @ Dawson,,,91,96,820000,https://www.srx.com.sg/listings/100333851/for-sale-skyparc-dawson-dawson-road,3.0,3,2.0
Woodlands,HDB 5 Room,364,Woodlands Avenue 5,,Blk 364 Woodlands Avenue 5,,,120,72,812000,https://www.srx.com.sg/listings/100333441/for-sale-woodlands-avenue-5-woodlands-avenue-5,27.0,4,2.0
Geylang Bahru,HDB 3 Room,57A,Geylang Bahru,,Blk 57A Geylang Bahru,,,65,81,812000,https://www.srx.com.sg/listings/100314151/for-sale-geylang-bahru-tastefully-renovated-3room-with-utility-near-mrt,18.0,2,2.0
Serangoon,HDB 5 Room,310,Serangoon Avenue 2,,Blk 310 Serangoon Avenue 2,,,121,61,812000,https://www.srx.com.sg/listings/99511391/for-sale-serangoon-avenue-2-serangoon-avenue-2,38.0,3,2.0
Serangoon Central,HDB 4 Room,201,Serangoon Central,,Blk 201 Serangoon Central,,,89,61,668000,https://www.srx.com.sg/listings/96809511/for-sale-serangoon-central-serangoon-central,38.0,3,2.0
New Upper Changi,HDB 5 Room,61,New Upper Changi Road,,Blk 61 New Upper Changi Road,,,115,53,668000,https://www.srx.com.sg/listings/99313961/for-sale-new-upper-changi-road-new-upper-changi-road,46.0,2,2.0
Teban Vista,HDB 4 Room,20,Teban Vista,,Blk 20 Teban Vista,,,92,89,668000,https://www.srx.com.sg/listings/100332491/for-sale-teban-vista-teban-gardens-road,10.0,3,2.0
Eastlawn,HDB 5 Room,108C,Eastlawn @ Canberra,,Blk 108C Eastlawn @ Canberra,,,113,94,980000,https://www.srx.com.sg/listings/99621561/for-sale-eastlawn-canberra-eastlawn-canberra,5.0,3,2.0
Bukit Batok,HDB 4 Room,162,Bukit Batok Street 11,,Blk 162 Bukit Batok Street 11,,,114,61,980000,https://www.srx.com.sg/listings/100332381/for-sale-bukit-batok-street-11-bukit-batok-street-11,38.0,3,2.0
Ang Mo Kio,HDB 3 Room,155,Ang Mo Kio Avenue 4,,Blk 155 Ang Mo Kio Avenue 4,,,68,57,980000,https://www.srx.com.sg/listings/99430391/for-sale-ang-mo-kio-avenue-4-ang-mo-kio-avenue-4,42.0,2,2.0
Acacia Breeze,HDB 5 Room,505C,Acacia Breeze @ Yishun,,Blk 505C Acacia Breeze @ Yishun,,,112,92,878000,https://www.srx.com.sg/listings/100332261/for-sale-acacia-breeze-yishun-yishun-street-51,7.0,3,2.0
Bukit Batok West,HDB 4 Room,108,Bukit Batok West Avenue 6,,Blk 108 Bukit Batok West Avenue 6,,,104,61,878000,https://www.srx.com.sg/listings/100332051/for-sale-bukit-batok-west-avenue-6-bukit-batok-west-avenue-6,38.0,3,2.0
Havelock,HDB 3 Room,22,Havelock Road,,Blk 22 Havelock Road,,,64,45,728888,https://www.srx.com.sg/listings/100306081/for-sale-havelock-road-havelock-road,54.0,3,1.0
Parc Lumiere,HDB 5 Room,167A,Parc Lumiere,,Blk 167A Parc Lumiere,,,111,87,728888,https://www.srx.com.sg/listings/100030621/for-sale-parc-lumiere-simei-lane,12.0,3,2.0
Sun Plaza Green,HDB 3 Room,405,Sun Plaza Green,,Blk 405 Sun Plaza Green,,,60,61,728888,https://www.srx.com.sg/listings/99934821/for-sale-sun-plaza-green-tampines-street-41,38.0,2,1.0
Simei,HDB 5 Room,117,Simei Street 1,,Blk 117 Simei Street 1,,,122,64,385000,https://www.srx.com.sg/listings/100204121/for-sale-simei-street-1-simei-street-1,35.0,3,2.0
Tampines,HDB 5 Room,268,Tampines Street 21,,Blk 268 Tampines Street 21,,,133,60,385000,https://www.srx.com.sg/listings/100443111/for-sale-tampines-street-21-tampines-street-21,39.0,3,2.0
Eastbrook,HDB 4 Room,104C,Eastbrook @ Canberra,,Blk 104C Eastbrook @ Canberra,,,93,94,438000,https://www.srx.com.sg/listings/100237451/for-sale-eastbrook-canberra-canberra-street,5.0,3,2.0
Woodlands Meadow,HDB 4 Room,782D,Woodlands Meadow,,Blk 782D Woodlands Meadow,,,92,91,438000,https://www.srx.com.sg/listings/100603041/for-sale-woodlands-meadow-woodlands-crescent,8.0,3,2.0
Kim Tian,HDB 4 Room,125,Kim Tian Road,,Blk 125 Kim Tian Road,,,107,71,350000,https://www.srx.com.sg/listings/99547731/for-sale-kim-tian-road-kim-tian-road,28.0,3,2.0
MARSILING DRIVE,HDB 3 Room,23,MARSILING DRIVE,,Blk 23 MARSILING DRIVE,,,67,53,350000,https://www.srx.com.sg/listings/100403421/for-sale-marsiling-drive-marsiling-drive,46.0,2,2.0
Jurong West,HDB 5 Room,529,Jurong West Street 52,,Blk 529 Jurong West Street 52,,,118,58,350000,https://www.srx.com.sg/listings/100483831/for-sale-jurong-west-street-52-jurong-west-street-52,41.0,3,2.0
Jurong West,HDB 3 Room,490,Jurong West Avenue 1,,Blk 490 Jurong West Avenue 1,,,73,60,699000,https://www.srx.com.sg/listings/100082631/for-sale-jurong-west-avenue-1-jurong-west-avenue-1,39.0,2,2.0
Choa Chu Kang,HDB 4 Room,252,Choa Chu Kang Avenue 2,,Blk 252 Choa Chu Kang Avenue 2,,,104,70,699000,https://www.srx.com.sg/listings/100630001/for-sale-choa-chu-kang-avenue-2-no-extension-just-listed-well-maintained-mid-floo,29.0,3,2.0
Marine Terrace,HDB 4 Room,19,Marine Terrace,,Blk 19 Marine Terrace,,,88,51,699000,https://www.srx.com.sg/listings/100649331/for-sale-marine-terrace-marine-terrace,48.0,3,1.0
Admiralty Grove,HDB 4 Room,693B,Admiralty Grove,,Blk 693B Admiralty Grove,,,92,94,680000,https://www.srx.com.sg/listings/100649281/for-sale-admiralty-grove-woodlands-avenue-6,5.0,3,2.0
Jurong West,HDB 4 Room,408,Jurong West Street 42,,Blk 408 Jurong West Street 42,,,108,60,680000,https://www.srx.com.sg/listings/100649071/for-sale-jurong-west-street-42-jurong-west-street-42,39.0,3,2.0
Clementi,HDB 3 Room,427,Clementi Avenue 3,,Blk 427 Clementi Avenue 3,,,67,54,1150000,https://www.srx.com.sg/listings/100648961/for-sale-clementi-avenue-3-clementi-avenue-3,45.0,2,2.0
