,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
43,"1.282259, 103.826338",0.011454440697742763,0.21965770007402785,0.004179467956766282,0.006712458456544423,0.0018043781194911626,0.027290529952407945,0.009587993289924112,0.0,0.0,JALAN MEMB,HDB 5 ROOM,https://www.99.co/singapore/sale/property/118c-jalan-membina-hdb-P8uW4ohrHibQSFt5uUHzd3,79,109,980000,BUKIT MERAH,0.05,0.025,0.3556869685469045,0.8171808554209762,21.763050748641806
44,"1.2822733, 103.8262036185258",0.011288086128675353,0.23166961297455285,0.0041417334603687265,0.006682646313435991,0.0018239586010470902,0.02752469373921943,0.009666360866028274,0.0,0.0,JALAN MEMBINA,HDB 5 ROOM,https://www.srx.com.sg/listings/100647441/for-sale-jalan-membina-jalan-membina,79,110,608000,BUKIT MERAH,0.05,0.025,0.3677970920833278,0.8171808554209762,22.504020355069056
45,"1.2823189, 103.82929280211113",0.008306858716636719,0.14029114658709896,0.004335382662335565,0.00923497008105772,0.0013862348121834569,0.01824722961861411,0.004099495121665003,0.0,0.0,KIM TIAN,HDB 4 ROOM,https://www.99.co/singapore/sale/property/126c-kim-tian-road-hdb-6zvhaEuv8qEVRcfRMWAZ7S,89,92,930000,BUKIT MERAH,0.05,0.025,0.26090131759959156,0.3079065032512523,42.36697095460429
46,"1.2825316, 103.82691063542373",0.009320298768340394,0.18791340340320717,0.0046603449109983005,0.007369109250863608,0.001819909687315668,0.027866885336946458,0.009263166555621002,0.0,0.0,JALAN MEMBINA,HDB 4 ROOM,https://www.srx.com.sg/listings/98756521/for-sale-jalan-membina-jalan-membina,79,90,395000,BUKIT MERAH,0.05,0.025,0.3232131179132926,0.3079065032512523,50.0
47,"1.28254335, 103.8307884609872",0.0064375567463274795,0.14860473344071426,0.0038584517609855456,0.011867647503904387,0.0012049430283524668,0.011500482599731868,0.0048913195641194975,0.0,0.0,CHAY YAN,HDB 4 ROOM,https://www.99.co/singapore/sale/property/79-chay-yan-street-hdb-e7TRJubEKSmm54op5uME9S,43,88,1300000,CHAY YAN,0.04,0.01,0.23836513464413556,0.0,0.0
48,"1.282544, 103.826718",0.00917387364502303,0.1992300812050727,0.004606858391196982,0.007350511864456669,0.001853865095410388,0.028776040008542156,0.009379908970927086,0.0,0.0,JALAN MEMB,HDB 4 ROOM,https://www.99.co/singapore/sale/property/118d-jalan-membina-hdb-U9AMBDWgPgwMnFnJKQSsZ6,79,90,850000,BUKIT MERAH,0.05,0.025,0.33537113918062905,0.3079065032512523,50.0
49,"1.28274585, 103.82271110941281",0.01102557200423418,0.12959329602011277,0.002852571942815905,0.0047578632586069486,0.0018976635644923077,0.02290188382906151,0.010768621583514184,0.0,0.0,BUKIT MERAH VIEW,HDB 4 ROOM,https://www.srx.com.sg/listings/100535101/for-sale-bukit-merah-view-bukit-merah-view,49,88,718000,BUKIT MERAH,0.04,0.02,0.2437974722028378,0.3079065032512523,39.589529553375264
50,"1.2828631499999998, 103.82954689078773",0.007439634262492377,0.15105104303112699,0.004811173543744725,0.00996472256630445,0.0014284816592469282,0.013957378252740361,0.00839996401201406,0.0,0.0,KIM TIAN,HDB 4 ROOM,https://www.99.co/singapore/sale/property/126a-kim-tian-road-hdb-E5xbzBJGTNGGXxtGg646wR,89,92,900000,BUKIT MERAH,0.05,0.025,0.2720523973276699,0.3079065032512523,44.177760855163655
51,"1.28306385, 103.82560967167316",0.009832698207720213,0.24243031326814138,0.004548670101370271,0.007688307803232607,0.0022379414864385737,0.04099720431326738,0.010075895604848225,0.0,0.0,JALAN MEMBINA,HDB 3 ROOM,https://www.srx.com.sg/listings/99828461/for-sale-jalan-membina-jalan-membina,85,60,360000,BUKIT MERAH,0.03,0.025,0.37281103078501865,0.0,0.0
52,"1.283091, 103.825588",0.00980031931985444,0.23692524806215362,0.004558879005201527,0.007719075486735977,0.0022552983424742497,0.04136294168507599,0.010093055968154411,0.0,0.0,JALAN MEMB,HDB 3 ROOM,https://www.99.co/singapore/sale/property/26b-jalan-membina-hdb-hUM52tNEpLdDXumFWpvC9K,85,60,690000,BUKIT MERAH,0.03,0.025,0.3677148178696502,0.0,0.0
53,"1.283134, 103.826061",0.009974868564951602,0.22528920726739762,0.004935595234099037,0.008275721211698473,0.002211613778504043,0.04497049919310925,0.009852458789424761,0.0,0.0,JALAN MEMB,HDB 3 ROOM,https://www.99.co/singapore/sale/property/26a-jalan-membina-hdb-2pqCZj8U8pdh6cL7J7cbt5,84,60,708000,BUKIT MERAH,0.03,0.025,0.3605099640391848,0.0,0.0
54,"1.283298, 103.825034",0.009422072557861077,0.1897540950289752,0.004332869039896541,0.007454037867682301,0.00242444975908456,0.034213864513771924,0.010407395290881843,0.0,0.0,JALAN MEMB,HDB 5 ROOM,https://www.99.co/singapore/sale/property/25b-jalan-membina-hdb-bLCozWZ52R7wS3DWDU9Un9,85,109,1399999,BUKIT MERAH,0.05,0.025,0.3330087840581535,0.8171808554209762,20.375464124560395
